y_pred,y_real,type,fecha,producto,modelo
1539.215,290.0,train,2019-10-31,11,ALL
6408.09,8204.0,train,2019-11-02,11,ALL
3870.37,3863.0,train,2019-11-04,11,ALL
3895.105,4425.0,train,2019-11-05,11,ALL
4796.84,6214.0,train,2019-11-06,11,ALL
2259.31,1873.0,train,2019-11-07,11,ALL
12201.17,17119.0,train,2019-11-13,11,ALL
13010.825,16602.0,train,2019-11-14,11,ALL
14347.755,17749.0,train,2019-11-15,11,ALL
5042.35,3766.0,train,2019-11-16,11,ALL
1298.96,407.0,train,2019-11-18,11,ALL
13474.69,5956.0,train,2019-11-20,11,ALL
6427.385,4425.0,train,2019-11-21,11,ALL
8558.585,6150.0,train,2019-11-22,11,ALL
5586.325,6117.0,train,2019-11-23,11,ALL
4482.42,5394.0,train,2019-11-25,11,ALL
2985.455,3165.0,train,2019-11-26,11,ALL
5166.625,5123.0,train,2019-11-27,11,ALL
5285.15,2228.0,train,2019-11-28,11,ALL
4210.29,2790.0,train,2019-11-29,11,ALL
3038.835,2694.0,train,2019-11-30,11,ALL
1688.955,1033.0,train,2019-12-02,11,ALL
4155.385,4580.0,train,2019-12-03,11,ALL
3788.36,3068.0,train,2019-12-04,11,ALL
2828.135,2642.0,train,2019-12-05,11,ALL
3470.65,3443.0,train,2019-12-07,11,ALL
529.71,51.0,train,2019-12-12,11,ALL
4031.565,2881.0,train,2019-12-13,11,ALL
4161.33,4787.0,train,2019-12-14,11,ALL
1464.86,1169.0,train,2019-12-16,11,ALL
2729.61,2648.0,train,2019-12-17,11,ALL
1732.76,859.0,train,2019-12-18,11,ALL
3251.5,3520.0,train,2019-12-19,11,ALL
4182.59,4974.0,train,2019-12-20,11,ALL
2363.285,2080.0,train,2019-12-21,11,ALL
1666.77,1776.0,train,2019-12-26,11,ALL
2421.935,2422.0,train,2019-12-27,11,ALL
3664.5,3992.0,train,2019-12-28,11,ALL
1552.725,1821.0,train,2019-12-30,11,ALL
2389.89,2926.0,train,2019-12-31,11,ALL
1357.115,710.0,train,2020-01-02,11,ALL
2372.025,1893.0,train,2020-01-03,11,ALL
1931.275,1796.0,train,2020-01-04,11,ALL
665.03,452.0,train,2020-01-10,11,ALL
1498.945,1066.0,train,2020-01-11,11,ALL
1004.27,1001.0,train,2020-01-15,11,ALL
1149.885,1240.0,train,2020-01-17,11,ALL
4908.32,6092.0,train,2020-01-18,11,ALL
4318.41,4438.0,train,2020-01-20,11,ALL
3908.885,4302.0,train,2020-01-21,11,ALL
2677.545,3062.0,train,2020-01-23,11,ALL
3225.13,4522.0,train,2020-01-24,11,ALL
9904.235,8992.0,train,2020-01-28,11,ALL
5234.785,6279.0,train,2020-01-29,11,ALL
3675.39,3385.0,train,2020-01-30,11,ALL
2728.675,2526.0,train,2020-01-31,11,ALL
4254.11,3701.0,train,2020-02-01,11,ALL
1598.975,807.0,train,2020-02-03,11,ALL
6199.545,6292.0,train,2020-02-04,11,ALL
6342.51,5504.0,train,2020-02-05,11,ALL
4020.095,4166.0,train,2020-02-06,11,ALL
6061.245,6918.0,train,2020-02-07,11,ALL
4938.5,5045.0,train,2020-02-08,11,ALL
1495.095,1421.0,train,2020-02-10,11,ALL
5718.025,4800.0,train,2020-02-11,11,ALL
4973.41,4722.0,train,2020-02-12,11,ALL
3996.03,4580.0,train,2020-02-13,11,ALL
6780.535,7364.0,train,2020-02-14,11,ALL
2426.5,3023.0,train,2020-02-17,11,ALL
3289.0,2713.0,train,2020-02-18,11,ALL
2357.465,1880.0,train,2020-02-19,11,ALL
3742.06,4115.0,train,2020-02-24,11,ALL
2477.075,2590.0,train,2020-02-25,11,ALL
1097.19,387.0,train,2020-02-27,11,ALL
2059.55,2203.0,train,2020-02-29,11,ALL
4428.095,5368.0,train,2020-03-03,11,ALL
4036.615,5161.0,train,2020-03-04,11,ALL
4171.235,4644.0,train,2020-03-10,11,ALL
2411.365,2745.0,train,2020-03-13,11,ALL
2579.055,2765.0,train,2020-03-14,11,ALL
1457.995,1414.0,train,2020-03-16,11,ALL
3595.245,3042.0,train,2020-03-18,11,ALL
657.61,542.0,train,2020-03-19,11,ALL
722.845,575.0,train,2020-03-20,11,ALL
6119.56,6763.0,train,2020-03-21,11,ALL
1458.455,1279.0,train,2019-06-05,12,ALL
1694.605,1666.0,train,2019-06-11,12,ALL
2533.7,2558.0,train,2019-06-12,12,ALL
2974.305,2958.0,train,2019-06-13,12,ALL
1228.145,1098.0,train,2019-06-14,12,ALL
2470.495,2429.0,train,2019-06-15,12,ALL
1722.465,1654.0,train,2019-06-17,12,ALL
1154.36,1020.0,train,2019-06-18,12,ALL
976.51,465.0,train,2019-06-19,12,ALL
1553.93,1511.0,train,2019-06-21,12,ALL
3380.705,3604.0,train,2019-06-22,12,ALL
1923.605,2106.0,train,2019-06-25,12,ALL
472.16,258.0,train,2019-07-01,12,ALL
554.245,491.0,train,2019-07-03,12,ALL
1232.12,1537.0,train,2019-07-10,12,ALL
2329.3,2506.0,train,2019-07-11,12,ALL
1782.745,1744.0,train,2019-07-12,12,ALL
1058.4,1356.0,train,2019-07-15,12,ALL
1534.255,1421.0,train,2019-07-16,12,ALL
2191.075,2183.0,train,2019-07-18,12,ALL
1673.93,1679.0,train,2019-07-19,12,ALL
1503.575,1757.0,train,2019-07-20,12,ALL
781.87,594.0,train,2019-07-22,12,ALL
1685.065,1834.0,train,2019-07-23,12,ALL
1520.425,1576.0,train,2019-07-24,12,ALL
2253.985,2287.0,train,2019-07-25,12,ALL
1637.255,1654.0,train,2019-07-26,12,ALL
673.53,529.0,train,2019-07-29,12,ALL
1300.025,1266.0,train,2019-07-30,12,ALL
1627.345,1524.0,train,2019-07-31,12,ALL
1945.19,1964.0,train,2019-08-01,12,ALL
6037.155,7338.0,train,2019-08-03,12,ALL
3607.07,4354.0,train,2019-08-07,12,ALL
1262.92,1279.0,train,2019-08-13,12,ALL
1473.955,1473.0,train,2019-08-16,12,ALL
2756.525,1705.0,train,2019-08-17,12,ALL
851.99,814.0,train,2019-08-19,12,ALL
815.045,762.0,train,2019-08-20,12,ALL
2032.42,1318.0,train,2019-08-21,12,ALL
1982.87,1886.0,train,2019-08-22,12,ALL
1214.225,1175.0,train,2019-08-23,12,ALL
1201.295,1318.0,train,2019-09-10,12,ALL
1009.655,1098.0,train,2019-09-18,12,ALL
1823.045,1679.0,train,2019-09-20,12,ALL
2008.19,2093.0,train,2019-09-21,12,ALL
929.165,956.0,train,2019-09-23,12,ALL
1403.01,1408.0,train,2019-09-24,12,ALL
582.555,555.0,train,2019-09-25,12,ALL
1881.32,1899.0,train,2019-09-26,12,ALL
1600.755,1615.0,train,2019-09-27,12,ALL
1781.29,1796.0,train,2019-09-28,12,ALL
699.555,659.0,train,2019-09-30,12,ALL
1295.06,1292.0,train,2019-10-01,12,ALL
1397.77,1563.0,train,2019-10-02,12,ALL
1931.345,1989.0,train,2019-10-03,12,ALL
1342.745,1253.0,train,2019-10-04,12,ALL
4277.955,5194.0,train,2019-10-05,12,ALL
2055.295,2442.0,train,2019-10-07,12,ALL
2229.31,2519.0,train,2019-10-08,12,ALL
1678.8,1796.0,train,2019-10-09,12,ALL
2791.315,2997.0,train,2019-10-10,12,ALL
