fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,stockMissingType,weekday,quarter,month,weekofyear,deltaStock,roll4wd_udsventa,roll4wd_udsstock,roll4wd_udsprevisionempresa
2019-06-07,3,,28339.0,39108.0,1.0,0.0,2.0,4,2,6,23,,28339.0,,39108.0
2019-06-07,30,,836.0,13665.0,0.0,0.0,2.0,4,2,6,23,,836.0,,13665.0
2019-06-07,31,,452.0,26548.0,0.0,0.0,2.0,4,2,6,23,,452.0,,26548.0
2019-06-07,32,,856.0,16054.0,0.0,0.0,2.0,4,2,6,23,,856.0,,16054.0
2019-06-07,35,,905.0,19841.0,0.0,0.0,2.0,4,2,6,23,,905.0,,19841.0
2019-06-07,36,,1137.0,11874.0,1.0,0.0,2.0,4,2,6,23,,1137.0,,11874.0
2019-06-07,37,,309.0,5006.0,0.0,0.0,2.0,4,2,6,23,,309.0,,5006.0
2019-06-07,38,,1102.0,9357.0,1.0,0.0,2.0,4,2,6,23,,1102.0,,9357.0
2019-06-07,4,,5313.0,54789.0,0.0,0.0,2.0,4,2,6,23,,5313.0,,54789.0
2019-06-07,40,,605.0,11173.0,1.0,0.0,2.0,4,2,6,23,,605.0,,11173.0
2019-06-07,42,,383.0,13811.0,0.0,0.0,2.0,4,2,6,23,,383.0,,13811.0
2019-06-07,43,,2201.0,19956.0,0.0,0.0,2.0,4,2,6,23,,2201.0,,19956.0
2019-06-07,45,,1836.0,18880.0,0.0,0.0,2.0,4,2,6,23,,1836.0,,18880.0
2019-06-07,46,,1249.0,21888.0,0.0,0.0,2.0,4,2,6,23,,1249.0,,21888.0
2019-06-07,48,,575.0,12505.0,0.0,0.0,2.0,4,2,6,23,,575.0,,12505.0
2019-06-07,49,,1359.0,18842.0,0.0,0.0,2.0,4,2,6,23,,1359.0,,18842.0
2019-06-07,5,,4036.0,68870.0,0.0,0.0,2.0,4,2,6,23,,4036.0,,68870.0
2019-06-07,50,,1420.0,10446.0,1.0,0.0,2.0,4,2,6,23,,1420.0,,10446.0
2019-06-07,52,,1173.0,13707.0,0.0,0.0,2.0,4,2,6,23,,1173.0,,13707.0
2019-06-07,53,,760.0,13954.0,0.0,0.0,2.0,4,2,6,23,,760.0,,13954.0
2019-06-07,55,,1220.0,23366.0,0.0,0.0,2.0,4,2,6,23,,1220.0,,23366.0
2019-06-07,57,,1093.0,16064.0,0.0,0.0,2.0,4,2,6,23,,1093.0,,16064.0
2019-06-07,58,,14.0,329.0,0.0,0.0,2.0,4,2,6,23,,14.0,,329.0
2019-06-07,59,,675.0,6199.0,1.0,0.0,2.0,4,2,6,23,,675.0,,6199.0
2019-06-07,60,,532.0,2344.0,0.0,0.0,2.0,4,2,6,23,,532.0,,2344.0
2019-06-07,61,,1126.0,14816.0,0.0,0.0,2.0,4,2,6,23,,1126.0,,14816.0
2019-06-07,62,,309.0,9307.0,0.0,0.0,2.0,4,2,6,23,,309.0,,9307.0
2019-06-07,63,,302.0,8171.0,0.0,0.0,2.0,4,2,6,23,,302.0,,8171.0
2019-06-07,64,,1937.0,17105.0,0.0,0.0,2.0,4,2,6,23,,1937.0,,17105.0
2019-06-07,66,,570.0,8253.0,1.0,0.0,2.0,4,2,6,23,,570.0,,8253.0
2019-06-07,67,,1146.0,17639.0,0.0,0.0,2.0,4,2,6,23,,1146.0,,17639.0
2019-06-07,68,,510.0,5106.0,0.0,0.0,2.0,4,2,6,23,,510.0,,5106.0
2019-06-07,69,,1151.0,16711.0,1.0,0.0,2.0,4,2,6,23,,1151.0,,16711.0
2019-06-07,72,,492.0,8132.0,0.0,0.0,2.0,4,2,6,23,,492.0,,8132.0
2019-06-07,73,,729.0,9733.0,1.0,0.0,2.0,4,2,6,23,,729.0,,9733.0
2019-06-07,74,,512.0,10619.0,0.0,0.0,2.0,4,2,6,23,,512.0,,10619.0
2019-06-07,77,,357.0,3248.0,0.0,0.0,2.0,4,2,6,23,,357.0,,3248.0
2019-06-07,78,,772.0,13048.0,0.0,0.0,2.0,4,2,6,23,,772.0,,13048.0
2019-06-07,79,,1075.0,8950.0,0.0,0.0,2.0,4,2,6,23,,1075.0,,8950.0
2019-06-07,80,,,7773.0,0.0,0.0,2.0,4,2,6,23,,,,7773.0
2019-06-07,84,,573.0,4262.0,1.0,0.0,2.0,4,2,6,23,,573.0,,4262.0
2019-06-07,85,,1180.0,13871.0,0.0,0.0,2.0,4,2,6,23,,1180.0,,13871.0
2019-06-07,87,,824.0,9976.0,0.0,0.0,2.0,4,2,6,23,,824.0,,9976.0
2019-06-07,88,,622.0,7953.0,0.0,0.0,2.0,4,2,6,23,,622.0,,7953.0
2019-06-07,89,,634.0,10241.0,0.0,0.0,2.0,4,2,6,23,,634.0,,10241.0
2019-06-07,9,,1968.0,22041.0,0.0,0.0,2.0,4,2,6,23,,1968.0,,22041.0
2019-06-07,91,,1146.0,11721.0,1.0,0.0,2.0,4,2,6,23,,1146.0,,11721.0
2019-06-07,94,,376.0,6960.0,0.0,0.0,2.0,4,2,6,23,,376.0,,6960.0
2019-06-07,95,,473.0,6403.0,0.0,0.0,2.0,4,2,6,23,,473.0,,6403.0
2019-06-07,96,,533.0,6352.0,1.0,0.0,2.0,4,2,6,23,,533.0,,6352.0
2019-06-07,97,,467.0,6577.0,0.0,0.0,2.0,4,2,6,23,,467.0,,6577.0
2019-06-07,98,,356.0,5373.0,0.0,0.0,2.0,4,2,6,23,,356.0,,5373.0
2019-06-07,99,,,6494.0,0.0,0.0,2.0,4,2,6,23,,,,6494.0
2019-06-08,1,,,98716.0,0.0,0.0,2.0,5,2,6,23,,,,98716.0
2019-06-08,10,,,34.0,0.0,0.0,2.0,5,2,6,23,,,,34.0
2019-06-08,11,,551.0,56426.0,0.0,0.0,2.0,5,2,6,23,,551.0,,56426.0
2019-06-08,12,,865.0,4109.0,0.0,0.0,2.0,5,2,6,23,,865.0,,4109.0
2019-06-08,13,,,34.0,0.0,0.0,2.0,5,2,6,23,,,,34.0
2019-06-08,14,,211.0,2246.0,0.0,0.0,2.0,5,2,6,23,,211.0,,2246.0
2019-06-08,15,,,7651.0,0.0,0.0,2.0,5,2,6,23,,,,7651.0
