fecha,y_pred,y_real,type,producto,modelo,stockmin,stockmean,stockmax,udsventa,udsstock,precio
2019-11-27,130.91,119.0,ALL,88,ALL,91.0,119.5,148.0,295.0,148,3.78
2019-11-28,130.995,119.0,ALL,88,ALL,91.0,119.5,148.0,241.0,148,3.78
2019-11-29,84.735,71.0,ALL,88,ALL,54.0,71.0,88.0,442.0,88,3.78
2019-11-30,106.285,110.0,ALL,88,ALL,84.0,110.0,136.0,0.0,136,3.78
2019-12-02,107.965,110.0,ALL,88,ALL,84.0,110.0,136.0,295.0,136,3.78
2019-12-03,101.24,87.0,ALL,88,ALL,66.0,87.0,108.0,120.0,108,3.78
2019-12-04,74.94,77.0,ALL,88,ALL,59.0,77.5,96.0,218.0,96,3.78
2019-12-12,105.995,101.0,ALL,88,ALL,77.0,101.5,126.0,295.0,126,3.78
2019-12-13,247.69,295.0,ALL,88,ALL,225.0,295.5,366.0,501.0,366,3.78
2019-12-14,177.9,179.0,ALL,88,ALL,137.0,179.5,222.0,0.0,222,3.78
2019-12-16,174.84,179.0,ALL,88,ALL,137.0,179.5,222.0,337.0,222,3.78
2019-12-17,170.83,179.0,ALL,88,ALL,137.0,179.5,222.0,302.0,222,3.78
2019-12-18,121.055,106.0,ALL,88,ALL,81.0,106.5,132.0,477.0,132,3.78
2019-12-19,85.965,77.0,ALL,88,ALL,59.0,77.5,96.0,88.0,96,3.78
2019-12-21,45.495,9.0,ALL,88,ALL,7.0,9.5,12.0,0.0,12,3.78
2019-12-26,52.155,45.0,ALL,88,ALL,34.0,45.0,56.0,59.0,56,3.78
2019-12-27,142.335,113.0,ALL,88,ALL,86.0,113.0,140.0,479.0,140,3.78
2019-12-28,127.26,113.0,ALL,88,ALL,86.0,113.0,140.0,0.0,140,3.78
2019-12-30,122.005,113.0,ALL,88,ALL,86.0,113.0,140.0,383.0,140,3.78
2019-12-31,128.96,113.0,ALL,88,ALL,86.0,113.0,140.0,0.0,140,3.78
2020-01-02,115.85,113.0,ALL,88,ALL,86.0,113.0,140.0,177.0,140,3.78
2020-01-03,35.32,1.0,ALL,88,ALL,1.0,1.5,2.0,501.0,2,3.78
2020-01-04,99.805,114.0,ALL,88,ALL,87.0,114.5,142.0,0.0,142,3.78
2020-01-07,107.515,114.0,ALL,88,ALL,87.0,114.5,142.0,364.0,142,3.78
2020-01-08,146.205,140.0,ALL,88,ALL,107.0,140.5,174.0,354.0,174,3.78
2020-01-09,127.48,140.0,ALL,88,ALL,107.0,140.5,174.0,265.0,174,3.78
2020-01-10,134.8,139.0,ALL,88,ALL,106.0,139.0,172.0,180.0,172,3.78
2020-01-11,138.285,134.0,ALL,88,ALL,102.0,134.0,166.0,0.0,166,3.78
2020-01-15,252.105,294.0,ALL,88,ALL,224.0,294.0,364.0,295.0,364,3.78
2020-01-16,274.205,294.0,ALL,88,ALL,224.0,294.0,364.0,210.0,364,3.78
2020-01-17,252.525,289.0,ALL,88,ALL,220.0,289.0,358.0,501.0,358,3.78
2020-01-18,270.625,289.0,ALL,88,ALL,220.0,289.0,358.0,0.0,358,3.78
2020-01-20,304.635,289.0,ALL,88,ALL,220.0,289.0,358.0,295.0,358,3.78
2020-01-21,195.19,192.0,ALL,88,ALL,146.0,192.0,238.0,33.0,238,3.78
2020-01-23,167.18,181.0,ALL,88,ALL,138.0,181.0,224.0,147.0,224,3.78
2020-01-24,100.58,26.0,ALL,88,ALL,20.0,26.0,32.0,388.0,32,3.78
2020-01-27,32.085,19.0,ALL,88,ALL,15.0,19.5,24.0,359.0,24,3.78
2020-01-28,106.655,90.0,ALL,88,ALL,69.0,90.5,112.0,29.0,112,3.78
2020-01-29,136.03,129.0,ALL,88,ALL,98.0,129.0,160.0,295.0,160,3.78
2020-01-30,144.775,116.0,ALL,88,ALL,89.0,116.5,144.0,177.0,144,3.78
2020-01-31,98.16,77.0,ALL,88,ALL,59.0,77.5,96.0,415.0,96,3.78
2020-02-01,120.78,103.0,ALL,88,ALL,79.0,103.5,128.0,0.0,128,3.78
2020-02-03,120.49,103.0,ALL,88,ALL,79.0,103.5,128.0,324.0,128,3.78
2020-02-04,91.255,81.0,ALL,88,ALL,62.0,81.0,100.0,2.0,100,3.78
2020-02-05,92.405,77.0,ALL,88,ALL,59.0,77.5,96.0,243.0,96,3.78
2020-02-06,134.37,145.0,ALL,88,ALL,111.0,145.5,180.0,206.0,180,3.78
2020-02-07,133.125,145.0,ALL,88,ALL,111.0,145.5,180.0,476.0,180,3.78
2020-02-08,67.225,47.0,ALL,88,ALL,36.0,47.0,58.0,0.0,58,3.78
2020-02-10,46.55,47.0,ALL,88,ALL,36.0,47.0,58.0,211.0,58,3.78
2020-02-11,71.53,77.0,ALL,88,ALL,59.0,77.5,96.0,59.0,96,3.78
2020-02-12,80.46,77.0,ALL,88,ALL,59.0,77.5,96.0,236.0,96,3.78
2020-02-13,83.235,77.0,ALL,88,ALL,59.0,77.5,96.0,206.0,96,3.78
2020-02-14,128.115,155.0,ALL,88,ALL,118.0,155.0,192.0,442.0,192,3.78
2020-02-18,94.33,101.0,ALL,88,ALL,77.0,101.5,126.0,150.0,126,3.78
2020-02-19,82.385,77.0,ALL,88,ALL,59.0,77.5,96.0,265.0,96,3.78
2020-02-24,65.72,77.0,ALL,88,ALL,59.0,77.5,96.0,265.0,96,3.78
2020-02-25,79.04,77.0,ALL,88,ALL,59.0,77.5,96.0,61.0,96,3.78
2020-02-26,74.9,74.0,ALL,88,ALL,57.0,74.5,92.0,265.0,92,3.78
2020-02-27,71.4,74.0,ALL,88,ALL,57.0,74.5,92.0,415.0,92,3.78
2020-02-28,92.89,74.0,ALL,88,ALL,57.0,74.5,92.0,324.0,92,3.78
2020-02-29,108.22,113.0,ALL,88,ALL,86.0,113.0,140.0,0.0,140,3.78
2020-03-02,110.195,113.0,ALL,88,ALL,86.0,113.0,140.0,236.0,140,3.78
2020-03-03,83.635,74.0,ALL,88,ALL,57.0,74.5,92.0,0.0,92,3.78
2020-03-04,80.53,74.0,ALL,88,ALL,57.0,74.5,92.0,268.0,92,3.78
2020-03-10,104.875,116.0,ALL,88,ALL,89.0,116.5,144.0,150.0,144,3.78
2020-03-13,47.92,40.0,ALL,88,ALL,31.0,40.5,50.0,595.0,50,3.78
2020-03-17,83.495,77.0,ALL,88,ALL,59.0,77.5,96.0,501.0,96,3.78
2020-03-18,72.765,77.0,ALL,88,ALL,59.0,77.5,96.0,7.0,96,3.78
2020-03-19,76.44,77.0,ALL,88,ALL,59.0,77.5,96.0,594.0,96,3.78
2020-03-20,65.125,72.0,ALL,88,ALL,55.0,72.5,90.0,271.0,90,3.78
2020-03-21,75.14,77.0,ALL,88,ALL,59.0,77.5,96.0,0.0,96,3.78
2019-06-05,33.165,24.0,ALL,89,ALL,,,,0.0,30,5.37
2019-06-11,3.7,3.0,ALL,89,ALL,,,,0.0,4,5.37
2019-06-12,29.175,29.0,ALL,89,ALL,,,,0.0,36,5.37
2019-06-13,83.41,77.0,ALL,89,ALL,,,,0.0,96,5.37
2019-06-14,5.73,6.0,ALL,89,ALL,,,,0.0,8,5.37
2019-06-15,9.9,9.0,ALL,89,ALL,,,,0.0,12,5.37
2019-06-17,9.165,9.0,ALL,89,ALL,,,,0.0,12,5.37
2019-06-18,54.865,64.0,ALL,89,ALL,,,,0.0,80,5.37
2019-06-19,28.31,19.0,ALL,89,ALL,,,,0.0,24,5.37
2019-06-20,32.94,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-06-21,22.395,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-06-22,47.895,53.0,ALL,89,ALL,,,,0.0,66,5.37
2019-06-25,39.87,32.0,ALL,89,ALL,,,,0.0,40,5.37
