producto,fecha,udsprevisionempresa
50,2019-03-06,7621
55,2019-03-06,7439
53,2019-03-06,10523
14,2019-03-06,22879
22,2019-03-06,9565
33,2019-03-06,12729
13,2019-03-06,15094
83,2019-03-06,2613
61,2019-03-06,6784
82,2019-03-06,7793
24,2019-03-06,26499
77,2019-03-06,2054
73,2019-03-06,6632
95,2019-03-06,3744
57,2019-03-06,12539
47,2019-03-06,9899
66,2019-03-06,5146
35,2019-03-06,12767
15,2019-03-07,18703
68,2019-03-07,3867
70,2019-03-07,5650
28,2019-03-07,24240
54,2019-03-07,8528
20,2019-03-07,14823
50,2019-03-07,8496
60,2019-03-07,3633
87,2019-03-07,4057
97,2019-03-07,3638
16,2019-03-07,19786
62,2019-03-07,7498
67,2019-03-07,5669
9,2019-03-07,19837
57,2019-03-07,5689
75,2019-03-07,4026
77,2019-03-07,2953
96,2019-03-07,2336
4,2019-03-07,38966
53,2019-03-07,7253
64,2019-03-07,8130
2,2019-03-07,41091
91,2019-03-07,3661
43,2019-03-07,10981
55,2019-03-07,11020
88,2019-03-07,3399
24,2019-03-07,22238
7,2019-03-07,28496
61,2019-03-07,6721
89,2019-03-07,3883
18,2019-03-07,19916
49,2019-03-07,13514
29,2019-03-07,13818
85,2019-03-07,4123
11,2019-03-07,31519
82,2019-03-07,7714
69,2019-03-07,12047
35,2019-03-07,17382
5,2019-03-07,27396
59,2019-03-07,4651
79,2019-03-07,5068
19,2019-03-07,15119
94,2019-03-07,2878
48,2019-03-07,11706
46,2019-03-07,14077
98,2019-03-07,3191
36,2019-03-07,12092
3,2019-03-07,29472
31,2019-03-07,16089
10,2019-03-07,36191
78,2019-03-07,4715
22,2019-03-07,9631
21,2019-03-07,15192
26,2019-03-07,11086
30,2019-03-07,15703
33,2019-03-07,5132
38,2019-03-07,8929
37,2019-03-07,1948
45,2019-03-07,8983
84,2019-03-07,2260
23,2019-03-07,11362
74,2019-03-07,8207
76,2019-03-07,5412
58,2019-03-07,221
52,2019-03-07,4603
66,2019-03-07,7677
72,2019-03-07,6730
73,2019-03-07,3879
42,2019-03-07,12054
71,2019-03-07,6662
1,2019-03-07,39533
13,2019-03-07,33613
40,2019-03-07,14368
63,2019-03-07,9839
17,2019-03-07,9408
95,2019-03-07,3468
32,2019-03-07,17310
47,2019-03-07,10404
12,2019-03-07,30671
34,2019-03-07,5987
14,2019-03-07,21257
44,2019-03-07,7441
21,2019-03-08,15990
74,2019-03-08,11278
19,2019-03-08,23877
87,2019-03-08,6771
60,2019-03-08,2123
33,2019-03-08,3569
40,2019-03-08,19837
20,2019-03-08,22267
5,2019-03-08,43686
4,2019-03-08,44516
88,2019-03-08,5301
30,2019-03-08,21105
29,2019-03-08,16823
62,2019-03-08,10961
46,2019-03-08,18474
23,2019-03-08,19390
67,2019-03-08,8818
91,2019-03-08,6985
22,2019-03-08,8860
78,2019-03-08,7798
53,2019-03-08,9833
97,2019-03-08,3620
98,2019-03-08,3955
89,2019-03-08,6749
31,2019-03-08,20885
13,2019-03-08,32487
34,2019-03-08,18656
18,2019-03-08,25954
26,2019-03-08,9127
64,2019-03-08,11413
76,2019-03-08,4516
61,2019-03-08,10483
73,2019-03-08,6083
77,2019-03-08,2359
70,2019-03-08,7744
75,2019-03-08,7133
45,2019-03-08,13768
63,2019-03-08,13902
99,2019-03-08,3011
55,2019-03-08,14492
96,2019-03-08,4110
3,2019-03-08,33440
12,2019-03-08,37514
1,2019-03-08,43642
17,2019-03-08,9065
95,2019-03-08,4297
68,2019-03-08,4976
79,2019-03-08,5292
58,2019-03-08,212
48,2019-03-08,14439
2,2019-03-08,50868
59,2019-03-08,4356
54,2019-03-08,10004
15,2019-03-08,12610
11,2019-03-08,18514
28,2019-03-08,18213
32,2019-03-08,23291
85,2019-03-08,8277
80,2019-03-08,4172
50,2019-03-08,7013
82,2019-03-08,9840
9,2019-03-08,16861
81,2019-03-08,21177
83,2019-03-08,1505
