,producto,fecha_primera_venta,fecha_ultima_venta,freq_venta,venta_min,venta_q5,venta_q25,venta_median,venta_q75,venta_q95,venta_max,venta_iqr,venta_mean,venta_std,venta_CV,venta_skew,venta_kurtosis,venta_mad
46,63,2019-06-05,2020-03-22,292,0.0,0.0,138.0,309.0,391.0,531.0,1077.0,253.0,272.63013698630135,183.2775115403067,0.6711048641031897,0.16060626483319365,0.3908741112778711,148.7918934133984
47,64,2019-06-05,2020-03-22,292,0.0,0.0,13.75,653.0,1032.75,1932.05,2842.0,1019.0,652.9897260273973,644.9642973927041,0.9860169825746635,0.8451664924817778,0.22751719683161653,535.5924657534247
48,66,2019-06-05,2020-03-22,292,0.0,0.0,147.0,290.0,394.25,602.25,1638.0,247.25,283.86301369863014,219.03492260703686,0.7702995127654254,1.3600426148538767,5.556328953014413,160.38825295552638
49,67,2019-06-05,2020-03-22,292,0.0,0.0,14.5,530.0,831.25,1290.9499999999994,2293.0,816.75,531.2397260273973,459.93172666500385,0.8642868264746824,0.6471335525672347,0.2767306149555191,373.2054794520548
50,68,2019-06-05,2020-03-22,292,0.0,0.0,86.25,323.0,440.25,673.05,1383.0,354.0,306.72945205479454,236.94910517305274,0.7711780556042216,0.7922910942219163,1.659543336321013,185.39423437793207
51,69,2019-06-05,2020-03-22,292,0.0,0.0,320.25,682.0,990.0,1626.15,4250.0,669.75,711.4417808219179,574.0522325285781,0.8055029080386127,1.4286849695199033,5.392641359223164,428.67146744229683
52,72,2019-06-05,2020-03-22,292,0.0,0.0,393.0,541.0,615.0,822.2499999999998,1918.0,222.0,480.1472602739726,301.3090150821705,0.6264591249123806,0.43426463829692896,2.653613175502323,212.5462797898292
53,73,2019-06-05,2020-03-22,292,0.0,0.0,0.0,405.5,564.75,747.3499999999999,1579.0,564.75,357.777397260274,297.7932729919374,0.8309158654401388,0.4725596594894729,0.584995076408644,247.12675924188397
54,74,2019-06-05,2020-03-22,292,0.0,0.0,6.75,393.0,782.0,1405.85,4201.0,775.25,519.7431506849315,582.8425772746849,1.1194831571369703,2.1209482094143493,7.800084883139734,428.5539500844436
55,77,2019-06-05,2020-03-22,292,0.0,0.0,81.0,235.0,302.0,542.6499999999996,1008.0,221.0,222.46575342465752,175.1600805148239,0.7860081335974312,0.9688271775802973,1.833985990272443,133.0941077125164
56,78,2019-06-05,2020-03-22,292,0.0,0.0,0.0,291.0,420.0,743.8,1643.0,420.0,272.708904109589,263.65242047208295,0.9651337733926447,1.0737845770531935,2.436310857804769,210.8119018577594
57,79,2019-06-05,2020-03-22,292,0.0,0.0,27.75,398.5,555.75,959.9999999999995,1683.0,528.0,370.1849315068493,333.07576309992925,0.8982130563690164,0.7371853771483193,0.26345751417134133,278.2115781572528
58,80,2019-06-05,2020-03-22,292,0.0,0.0,0.0,0.0,369.0,1771.0,7872.0,369.0,359.01027397260276,890.3706764459614,2.475819846973791,5.029775794108366,32.32527241788634,483.00157158941647
59,84,2019-06-05,2020-03-22,292,0.0,0.0,67.75,207.0,285.0,458.1499999999999,997.0,217.25,204.43150684931507,161.71133364741019,0.7896737429839911,1.0510638675703363,2.5422308113685634,121.7993525989867
60,85,2019-06-05,2020-03-22,292,0.0,0.0,0.0,393.0,452.75,1138.1999999999991,1704.0,452.75,337.74657534246575,361.32522996538347,1.0679782360182002,1.148926278203301,1.1312916737005096,283.86484331018954
61,87,2019-06-05,2020-03-22,292,0.0,0.0,7.0,365.0,510.25,656.3499999999999,924.0,503.25,313.5239726027397,244.33841407303186,0.7779936747083674,-0.04497439071758608,-1.2077095672105285,214.5718943516607
62,88,2019-06-05,2020-03-22,292,0.0,0.0,0.0,177.0,295.0,488.89999999999975,624.0,295.0,176.84246575342465,171.2538032630034,0.9667378716189764,0.5593809472292467,-0.7165212236770402,146.39833927566147
63,89,2019-06-05,2020-03-22,292,0.0,0.0,0.0,210.0,364.75,688.1499999999999,1382.0,364.75,242.78082191780823,256.7191759511556,1.0555990761196035,1.276792184357348,2.0757042095962817,199.05967348470634
64,9,2019-06-05,2020-03-22,292,0.0,0.0,393.0,1180.0,2755.0,4723.0,36211.0,2362.0,1917.8082191780823,2773.2111371483593,1.4435533165701264,7.181694837623395,79.93577432855916,1495.443704259711
65,91,2019-06-05,2020-03-22,292,0.0,0.0,0.0,265.0,441.0,799.6999999999999,2024.0,441.0,294.6849315068493,305.59090983009565,1.0352317215154605,1.3286351389205364,3.186570837237367,237.37605554513044
66,94,2019-06-05,2020-03-22,292,0.0,0.0,2.0,251.0,399.25,549.8,937.0,397.25,240.08904109589042,202.67206159959295,0.8427070300273888,0.30904442822029127,-0.6418573909410501,173.14885531994747
67,95,2019-06-05,2020-03-22,292,0.0,0.0,0.0,0.0,3.75,376.34999999999997,1440.0,3.75,62.75684931506849,157.83757513579266,2.5107550051122782,4.1334014290268835,24.232607401046966,97.69748076562206
68,96,2019-06-05,2020-03-22,292,0.0,0.0,11.0,274.5,429.25,720.5499999999997,987.0,418.25,278.24657534246575,244.8925161983307,0.8786193316486887,0.6426695426214789,-0.030031909127089307,199.72255582660912
69,97,2019-06-05,2020-03-22,292,0.0,0.0,0.0,268.0,433.25,737.3499999999999,1135.0,433.25,277.07876712328766,258.3597560261079,0.9308435375506604,0.8068696489567332,0.3914190931624133,209.92393038093454
70,98,2019-06-05,2020-03-22,292,0.0,0.0,7.0,272.0,356.25,545.8,1259.0,349.25,238.95205479452054,206.2297065202621,0.8615798293905652,0.9117818326172026,2.382424313558281,164.01960968286733
71,99,2019-06-05,2020-03-22,292,0.0,0.0,0.0,0.0,387.25,1173.1499999999983,10332.0,387.25,329.83561643835617,894.0769167262081,2.7060287174028512,7.195981787766979,66.51954875490668,434.137924563708
