fecha,producto,udsventa
2015-07-14,42,767
2015-07-14,32,1121
2015-07-14,12,2415
2015-07-14,16,2967
2015-07-14,22,755
2015-07-14,67,516
2015-07-14,15,354
2015-07-14,48,934
2015-07-14,23,1125
2015-07-14,70,364
2015-07-14,13,2833
2015-07-14,49,762
2015-07-14,97,276
2015-07-14,1,5667
2015-07-14,88,137
2015-07-14,66,619
2015-07-14,72,221
2015-07-14,84,472
2015-07-14,10,2642
2015-07-15,50,729
2015-07-15,75,1276
2015-07-15,96,370
2015-07-15,18,1043
2015-07-15,61,681
2015-07-15,22,1591
2015-07-15,80,1972
2015-07-15,17,1589
2015-07-15,59,452
2015-07-15,10,1741
2015-07-15,68,730
2015-07-15,34,59
2015-07-15,79,683
2015-07-15,91,530
2015-07-15,30,878
2015-07-15,73,885
2015-07-15,63,841
2015-07-15,72,319
2015-07-15,21,1303
2015-07-15,24,1392
2015-07-15,89,538
2015-07-15,32,966
2015-07-15,88,223
2015-07-15,1,7793
2015-07-15,19,881
2015-07-15,7,2361
2015-07-15,74,289
2015-07-15,44,1626
2015-07-15,82,943
2015-07-15,84,606
2015-07-15,20,1183
2015-07-15,94,538
2015-07-15,98,403
2015-07-15,42,984
2015-07-15,87,333
2015-07-15,4,3247
2015-07-15,14,2383
2015-07-15,12,2386
2015-07-15,16,2767
2015-07-15,26,942
2015-07-15,5,4036
2015-07-15,64,549
2015-07-15,48,457
2015-07-15,15,354
2015-07-15,40,1815
2015-07-15,99,738
2015-07-15,54,1125
2015-07-15,49,885
2015-07-15,97,290
2015-07-15,55,521
2015-07-15,9,4250
2015-07-15,23,1659
2015-07-15,36,751
2015-07-15,62,1141
2015-07-15,43,969
2015-07-15,57,1355
2015-07-15,60,243
2015-07-15,46,649
2015-07-15,67,704
2015-07-15,13,1859
2015-07-15,35,1579
2015-07-15,53,1151
2015-07-15,70,707
2015-07-15,78,457
2015-07-15,38,1275
2015-07-15,71,623
2015-07-15,29,1399
2015-07-15,66,1057
2015-07-15,33,157
2015-07-16,21,1279
2015-07-16,84,615
2015-07-16,42,1156
2015-07-16,12,2199
2015-07-16,63,678
2015-07-16,88,300
2015-07-16,82,795
2015-07-16,53,1704
2015-07-16,13,2214
2015-07-16,4,4546
2015-07-16,97,179
2015-07-16,64,501
2015-07-16,67,456
2015-07-16,33,2927
2015-07-16,54,1103
2015-07-16,70,402
2015-07-16,7,3542
2015-07-16,59,536
2015-07-16,29,1536
2015-07-16,22,1559
2015-07-16,91,439
2015-07-16,36,933
2015-07-16,9,4959
2015-07-16,48,698
2015-07-16,26,950
2015-07-16,17,1787
2015-07-16,62,688
2015-07-16,20,1261
2015-07-16,66,890
2015-07-16,15,1416
2015-07-16,40,1416
2015-07-16,43,1014
2015-07-16,55,428
2015-07-16,34,284
2015-07-16,78,383
2015-07-16,35,1180
2015-07-16,14,2125
2015-07-16,96,261
2015-07-16,24,1480
2015-07-16,89,608
2015-07-16,72,295
2015-07-16,46,585
2015-07-16,49,1033
2015-07-16,18,979
2015-07-16,16,3143
2015-07-16,73,619
2015-07-16,30,1763
2015-07-16,19,900
2015-07-16,1,10627
2015-07-16,32,1151
2015-07-16,98,220
2015-07-16,38,1266
2015-07-16,87,279
2015-07-16,60,271
2015-07-16,23,1269
2015-07-16,71,690
2015-07-16,68,729
2015-07-16,79,552
2015-07-16,5,6147
2015-07-16,57,704
2015-07-16,50,1130
2015-07-16,44,1207
2015-07-16,74,237
2015-07-16,94,359
2015-07-16,75,974
2015-07-16,61,565
2015-07-16,10,2007
2015-07-17,16,3136
2015-07-17,44,1728
2015-07-17,82,1233
2015-07-17,42,1722
2015-07-17,79,522
2015-07-17,84,591
2015-07-17,33,551
2015-07-17,66,1107
2015-07-17,60,339
2015-07-17,54,1061
2015-07-17,22,2202
2015-07-17,94,525
2015-07-17,80,1279
2015-07-17,87,405
2015-07-17,43,793
2015-07-17,63,1313
2015-07-17,89,952
2015-07-17,30,2863
2015-07-17,50,1426
2015-07-17,67,793
2015-07-17,1,7084
2015-07-17,40,2309
2015-07-17,68,767
2015-07-17,20,2023
2015-07-17,4,649
2015-07-17,98,391
2015-07-17,35,2617
2015-07-17,53,1180
2015-07-17,46,1161
2015-07-17,24,1284
2015-07-17,21,1328
2015-07-17,59,592
2015-07-17,75,1904
2015-07-17,12,3945
2015-07-17,19,849
2015-07-17,38,1532
2015-07-17,17,2600
2015-07-17,34,1180
2015-07-17,78,1185
2015-07-17,48,1766
2015-07-17,88,452
2015-07-17,72,196
2015-07-17,55,1047
2015-07-17,62,1407
2015-07-17,61,733
2015-07-17,36,1190
2015-07-17,49,861
2015-07-17,15,708
2015-07-17,7,2361
2015-07-17,74,327
2015-07-17,97,163
2015-07-17,91,580
2015-07-17,70,522
2015-07-17,29,1418
2015-07-17,96,372
2015-07-17,57,1612
2015-07-17,23,2072
2015-07-17,81,3047
2015-07-17,99,344
2015-07-17,9,4959
2015-07-17,18,991
2015-07-17,5,6132
2015-07-17,26,1420
2015-07-17,10,2656
2015-07-17,73,766
2015-07-17,64,509
2015-07-17,71,816
2015-07-17,14,2006
2015-07-17,32,1845
2015-07-17,13,2981
2015-07-18,72,246
2015-07-18,21,910
2015-07-18,64,493
2015-07-18,18,986
2015-07-18,84,496
2015-07-18,19,799
2015-07-18,16,2205
2015-07-18,44,116
2015-07-18,29,1290
2015-07-18,24,1175
2015-07-18,43,753
2015-07-18,49,4403
2015-07-18,74,4
2015-07-18,14,1681
2015-07-18,79,537
2015-07-20,35,536
2015-07-20,1,9210
2015-07-20,43,676
2015-07-20,57,1222
2015-07-20,23,2248
2015-07-20,34,1279
2015-07-20,70,546
2015-07-20,97,260
2015-07-20,96,380
2015-07-20,98,416
2015-07-20,26,1092
2015-07-20,7,4723
2015-07-20,4,4546
2015-07-20,48,423
2015-07-20,20,1778
2015-07-20,24,939
2015-07-20,61,831
2015-07-20,64,420
2015-07-20,73,675
2015-07-20,66,821
2015-07-20,80,1279
2015-07-20,62,447
2015-07-20,21,836
2015-07-20,89,555
2015-07-20,49,1156
2015-07-20,19,709
2015-07-20,32,642
2015-07-20,36,842
2015-07-20,74,345
2015-07-20,68,549
2015-07-20,82,874
2015-07-20,30,885
2015-07-20,71,1793
2015-07-20,99,738
2015-07-20,9,5667
2015-07-20,12,1052
2015-07-20,63,553
2015-07-20,88,361
2015-07-20,54,1141
2015-07-20,16,2040
2015-07-20,5,7534
2015-07-20,53,1955
2015-07-20,46,472
2015-07-20,67,612
2015-07-20,79,515
2015-07-20,38,1107
2015-07-20,84,552
2015-07-20,94,447
2015-07-20,72,221
2015-07-20,18,773
2015-07-20,60,221
2015-07-20,87,391
2015-07-20,15,708
2015-07-20,40,885
2015-07-20,44,1280
2015-07-20,91,255
2015-07-20,22,969
2015-07-20,17,1178
2015-07-20,75,413
2015-07-20,14,1683
2015-07-20,29,970
2015-07-20,59,702
2015-07-20,78,445
2015-07-20,10,1815
2015-07-20,50,900
2015-07-20,13,1997
2015-07-20,33,1121
2015-07-21,54,712
2015-07-21,71,688
2015-07-21,19,1157
2015-07-21,20,1372
2015-07-21,87,254
2015-07-21,72,246
2015-07-21,43,1253
2015-07-21,30,3416
2015-07-21,66,1805
2015-07-21,18,1404
2015-07-21,84,676
2015-07-21,24,1461
2015-07-21,35,2548
2015-07-21,55,1230
2015-07-21,91,391
2015-07-21,42,2051
2015-07-21,44,729
2015-07-21,79,633
2015-07-21,53,811
2015-07-21,68,409
2015-07-21,32,2125
2015-07-21,88,317
2015-07-21,21,836
