"Producto";"fecha";"udsPrevisionEmpresa"
"89";"2020-02-21";"3328,3800"
"40";"2019-03-30";"482,6520"
"49";"2019-04-30";"9025,7400"
"17";"2019-07-09";"2784,2280"
"78";"2019-09-09";"621,8880"
"20";"2019-11-30";"1152,7560"
"81";"2020-01-31";"3278,6880"
"72";"2020-02-15";"4683,8400"
"84";"2019-05-25";"955,7100"
"77";"2019-10-15";"1792,8480"
"45";"2020-01-22";"3315,0960"
"17";"2020-01-31";"7636,8240"
"91";"2019-06-28";"1815,2340"
"97";"2019-09-12";"521,0280"
"23";"2020-03-24";"1238,8560"
"67";"2019-04-23";"4923,1980"
"9";"2019-06-18";"7714,5600"
"73";"2019-07-08";"896,4240"
"12";"2019-04-08";"19697,2200"
"76";"2019-05-01";"5018,4000"
"9";"2019-05-23";"53293,4400"
"82";"2019-07-16";"1653,1200"
"24";"2019-09-07";"3035,6400"
"30";"2019-10-30";"3678,1920"
"85";"2019-12-04";"2858,5200"
"36";"2020-01-14";"2195,5500"
"76";"2019-04-05";"4851,1200"
"21";"2019-04-19";"37057,4400"
"18";"2019-05-31";"50539,4700"
"82";"2019-06-20";"6297,6000"
"24";"2019-08-15";"7465,6080"
"79";"2019-09-19";"492,0000"
"67";"2019-10-26";"32,4720"
"66";"2019-11-08";"4215,4560"
"76";"2019-11-26";",0000"
"75";"2019-12-09";"916,5960"
"18";"2020-01-21";"7689,9600"
"55";"2019-05-27";"10393,9920"
"64";"2019-06-27";"3643,2600"
"36";"2019-07-12";"2156,4360"
"79";"2019-01-30";"504,7920"
"9";"2020-01-13";"6612,4800"
"42";"2020-03-27";"971,2080"
"37";"2019-06-06";"6941,6280"
"55";"2019-06-19";"5668,8240"
"14";"2019-09-12";"3912,8760"
"57";"2019-11-20";"180,0720"
"61";"2020-03-10";"3597,0120"
"60";"2020-03-20";"698,8860"
"46";"2019-06-14";"6798,4560"
"45";"2019-06-24";"3878,9280"
"49";"2019-11-02";"5650,1280"
"48";"2019-11-12";"2627,2800"
"3";"2019-04-06";"28717,0560"
"95";"2019-04-08";"6028,9680"
"54";"2019-07-02";"572,1960"
"5";"2019-09-30";"5596,9920"
"40";"2019-10-25";"4212,5040"
"11";"2019-11-22";"15869,9520"
"17";"2020-02-06";"8179,9920"
"79";"2020-03-23";"542,9220"
"57";"2019-04-28";"1,9680"
"64";"2019-12-30";"2763,0720"
"35";"2020-01-27";"1989,6480"
"19";"2019-05-18";"2948,3100"
"58";"2019-10-15";"157,4400"
"29";"2019-12-05";"9015,4080"
"68";"2019-03-18";"1303,3080"
"75";"2019-05-11";"177,1200"
"46";"2019-06-08";"4007,8320"
"52";"2019-08-23";"5313,6000"
"79";"2019-08-24";"80,6880"
"50";"2019-09-21";"791,1360"
"23";"2019-09-20";"1947,0900"
"48";"2019-11-18";"3506,9760"
"19";"2019-12-16";"6166,7280"
"91";"2019-12-31";"2286,3240"
"4";"2019-03-21";"31409,2800"
"94";"2019-04-24";"3010,0560"
"10";"2019-06-05";"36888,1920"
"83";"2019-06-10";"13307,6160"
"38";"2019-11-23";"2066,4000"
"1";"2019-11-04";"9446,4000"
"35";"2020-01-10";"4565,7600"
"52";"2020-03-19";"3651,1320"
"75";"2019-04-01";"5372,6400"
"68";"2019-04-27";"1039,1040"
"38";"2019-06-13";"2754,2160"
"80";"2019-09-26";"412,7880"
"16";"2019-09-06";"4572,6480"
"58";"2019-11-27";"162,3600"
"74";"2020-01-17";"4086,5520"
"13";"2020-03-12";"18703,8720"
"11";"2019-04-04";"27000,9600"
"75";"2019-04-24";"2887,0560"
"23";"2019-09-03";"1099,1280"
"87";"2019-09-23";"989,4120"
"58";"2019-11-04";"172,2000"
"19";"2019-11-20";"12197,6640"
"83";"2019-12-10";"1425,8160"
"81";"2020-01-14";"3719,5200"
"22";"2019-04-23";"6513,3420"
"71";"2019-07-11";"438,3720"
"40";"2019-11-11";"1867,1400"
"57";"2019-04-08";"14721,6240"
"17";"2019-06-22";"8081,1000"
"69";"2019-09-07";"667,1520"
"22";"2019-11-18";"5312,1240"
"71";"2020-02-11";",0000"
"32";"2019-03-26";"14971,0680"
"47";"2019-04-13";"32,4720"
"10";"2019-06-19";"20616,7680"
"10";"2019-06-25";"12168,1440"
"59";"2019-09-12";"760,6320"
"22";"2019-10-26";"2284,8480"
"46";"2020-01-23";"9352,9200"
"32";"2019-04-18";"41221,7280"
"47";"2019-05-06";"18211,8720"
"98";"2019-09-19";"235,6680"
"4";"2019-11-02";"26213,7600"
"29";"2019-03-28";"22757,2140"
"50";"2019-04-11";"15320,8800"
"28";"2019-07-11";"5278,1760"
"62";"2019-09-10";"823,6080"
"21";"2019-03-07";"15192,9600"
"68";"2019-04-04";"4129,8480"
"29";"2019-04-20";"1248,6960"
"4";"2019-10-10";"37785,6000"
"85";"2019-04-19";"21481,7040"
"19";"2019-04-25";"15633,0540"
"83";"2019-05-15";"2376,3600"
"38";"2019-06-07";"9357,8400"
"53";"2019-07-01";"785,2320"
"72";"2019-08-13";"905,2800"
"57";"2019-10-11";"2955,9360"
"11";"2019-10-30";"13886,2080"
"18";"2020-02-10";"7630,9200"
